City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint george,37.1041,-113.5841,19.41,35,0,6.69,US,1667868503
1,avarua,-21.2078,-159.775,25.03,65,75,3.09,CK,1667868618
2,hobart,-42.8794,147.3294,25.03,57,0,5.66,AU,1667868324
3,hualmay,-11.0964,-77.6139,17.98,82,16,2.86,PE,1667868668
4,hermanus,-34.4187,19.2345,11.0,87,13,3.09,ZA,1667868555
5,poroshkovo,48.6683,22.7533,8.9,87,99,1.28,UA,1667868668
6,sitka,57.0531,-135.33,2.94,23,0,0.0,US,1667868641
7,lebu,-37.6167,-73.65,12.09,84,100,4.27,CL,1667868468
8,albany,42.6001,-73.9662,11.3,48,5,0.45,US,1667868195
9,hithadhoo,-0.6,73.0833,27.75,76,13,8.41,MV,1667868570
10,maniitsoq,65.4167,-52.9,-8.38,55,0,3.1,GL,1667868670
11,east london,-33.0153,27.9116,19.66,87,100,6.1,ZA,1667868611
12,berlevag,70.8578,29.0864,1.0,86,75,3.6,NO,1667868639
13,porciuncula,-20.9628,-42.0408,18.7,97,100,1.01,BR,1667868671
14,puerto ayora,-0.7393,-90.3518,19.75,84,91,1.79,EC,1667868596
15,kodiak,57.79,-152.4072,3.73,87,100,7.2,US,1667868356
16,sisimiut,66.9395,-53.6735,-11.58,86,9,4.71,GL,1667868672
17,kapaa,22.0752,-159.319,28.99,72,20,6.17,US,1667868584
18,nizhnyaya tura,58.6293,59.8118,-2.18,90,100,3.38,RU,1667868673
19,busselton,-33.65,115.3333,17.36,65,97,4.38,AU,1667868546
20,breisach,48.0333,7.5833,11.06,89,0,1.03,DE,1667868673
21,yellowknife,62.456,-114.3525,-13.71,78,75,3.6,CA,1667868375
22,bengkulu,-3.8004,102.2655,24.03,89,100,1.12,ID,1667868391
23,tuktoyaktuk,69.4541,-133.0374,-17.0,78,20,4.12,CA,1667868616
24,mutsu,41.2894,141.2169,12.0,68,100,0.27,JP,1667868674
25,vaini,-21.2,-175.2,27.09,74,20,3.09,TO,1667868559
26,gornopravdinsk,60.05,69.9,-6.96,97,100,2.95,RU,1667868675
27,kuusamo,65.9667,29.1833,-3.98,93,100,2.06,FI,1667868676
28,mangan,27.5167,88.5333,16.31,54,3,2.19,IN,1667868676
29,klaksvik,62.2266,-6.589,9.51,90,100,16.03,FO,1667868677
30,cam ranh,11.9214,109.1591,26.98,65,20,3.09,VN,1667868678
31,punta arenas,-53.15,-70.9167,13.06,67,0,7.72,CL,1667868441
32,tasiilaq,65.6145,-37.6368,-1.07,97,100,2.37,GL,1667868588
33,victoria,22.2855,114.1577,22.92,90,100,4.02,HK,1667868461
34,cape town,-33.9258,18.4232,16.18,86,100,1.03,ZA,1667868624
35,muisne,0.6,-80.0333,23.43,77,75,2.59,EC,1667868680
36,port blair,11.6667,92.75,26.02,89,100,1.03,IN,1667868680
37,mataura,-46.1927,168.8643,18.6,38,71,1.73,NZ,1667868390
38,marawi,7.9986,124.2928,26.28,71,28,0.68,PH,1667868681
39,porto santo,33.072,-16.3415,19.21,94,20,1.03,PT,1667868682
40,georgetown,5.4112,100.3354,28.46,88,20,2.24,MY,1667868634
41,beringovskiy,63.05,179.3167,-1.27,97,100,6.79,RU,1667868560
42,barrow,71.2906,-156.7887,-3.99,80,100,10.29,US,1667868594
43,saint-philippe,-21.3585,55.7679,21.77,76,37,3.04,RE,1667868571
44,freeport,40.6576,-73.5832,21.2,27,0,5.66,US,1667868455
45,babu,24.4167,111.5167,22.55,68,70,0.63,CN,1667868684
46,bluff,-46.6,168.3333,18.78,67,87,3.06,NZ,1667868640
47,mahebourg,-20.4081,57.7,22.16,88,20,2.06,MU,1667868588
48,jamestown,42.097,-79.2353,9.77,64,0,3.6,US,1667868510
49,ulladulla,-35.35,150.4667,21.15,57,4,5.3,AU,1667868624
50,snasa,64.2457,12.3778,1.67,86,15,1.69,NO,1667868685
51,ushuaia,-54.8,-68.3,14.81,55,75,6.69,AR,1667868392
52,dikson,73.5069,80.5464,-14.69,95,100,3.55,RU,1667868553
53,altagracia de orituco,9.8601,-66.3814,23.38,83,90,0.61,VE,1667868686
54,qaanaaq,77.484,-69.3632,-18.14,97,100,2.23,GL,1667868393
55,bambous virieux,-20.3428,57.7575,22.14,88,20,2.06,MU,1667868687
56,padang,-0.9492,100.3543,25.03,80,100,0.93,ID,1667868431
57,provideniya,64.3833,-173.3,0.06,74,100,10.0,RU,1667868687
58,nanortalik,60.1432,-45.2371,-2.06,87,100,1.54,GL,1667868606
59,ikalamavony,-21.15,46.5833,20.01,86,100,0.92,MG,1667868688
60,severo-kurilsk,50.6789,156.125,4.29,74,78,8.06,RU,1667868586
61,otane,-39.8833,176.6333,18.34,56,41,3.33,NZ,1667868504
62,mankapur,27.0333,82.2333,20.18,72,93,0.42,IN,1667868689
63,hambantota,6.1241,81.1185,24.19,100,75,1.03,LK,1667868636
64,ponta do sol,32.6667,-17.1,20.4,86,94,1.68,PT,1667868616
65,cayenne,4.9333,-52.3333,24.02,94,0,1.03,GF,1667868554
66,olinda,-8.0089,-34.8553,26.85,74,40,3.09,BR,1667868690
67,cabo san lucas,22.8909,-109.9124,25.03,68,0,4.47,MX,1667868528
68,atuona,-9.8,-139.0333,25.09,68,100,6.34,PF,1667868573
69,lavrentiya,65.5833,-171.0,-1.71,97,100,9.81,RU,1667868556
70,poum,-20.2333,164.0167,25.58,80,100,6.11,NC,1667868691
71,nikolskoye,59.7035,30.7861,3.94,93,100,3.94,RU,1667868572
72,deputatskiy,69.3,139.9,-21.13,94,100,2.56,RU,1667868692
73,westport,41.1415,-73.3579,20.01,24,0,5.14,US,1667868692
74,murdochville,48.9583,-65.5006,5.49,69,12,8.45,CA,1667868693
75,hasaki,35.7333,140.8333,17.38,54,0,6.27,JP,1667868635
76,benidorm,38.5382,-0.131,16.28,63,57,2.2,ES,1667868694
77,elburg,52.4475,5.8431,13.32,84,65,1.34,NL,1667868694
78,sao filipe,14.8961,-24.4956,25.55,66,100,1.87,CV,1667868629
79,mar del plata,-38.0023,-57.5575,17.27,88,0,5.81,AR,1667868569
80,hobyo,5.3505,48.5268,26.54,74,27,3.05,SO,1667868695
81,arraial do cabo,-22.9661,-42.0278,19.98,88,75,1.54,BR,1667868576
82,sept-iles,50.2001,-66.3821,6.0,74,20,5.14,CA,1667868649
83,pio ix,-6.8375,-40.5792,23.95,75,79,2.83,BR,1667868696
84,balaipungut,1.05,101.2833,25.51,89,90,0.66,ID,1667868696
85,balkhash,46.844,74.9804,5.37,85,100,8.98,KZ,1667868697
86,bredasdorp,-34.5322,20.0403,13.65,92,88,2.6,ZA,1667868583
87,margate,51.3813,1.3862,15.5,79,100,4.47,GB,1667868698
88,carnarvon,-24.8667,113.6333,20.8,58,0,6.23,AU,1667868593
89,mahon,39.8885,4.2658,18.31,72,75,2.57,ES,1667868698
90,falun,60.6036,15.626,7.23,97,100,1.36,SE,1667868699
91,port alfred,-33.5906,26.891,17.88,89,100,2.68,ZA,1667868568
92,urumqi,43.801,87.6005,0.53,80,2,1.0,CN,1667868644
93,fortuna,40.5982,-124.1573,9.25,94,75,6.17,US,1667868646
94,saint-francois,46.4154,3.9054,4.82,93,0,1.03,FR,1667868700
95,sembe,1.6481,14.5806,21.35,98,100,0.46,CG,1667868700
96,saint-pierre,-21.3393,55.4781,21.82,64,0,2.57,RE,1667868613
97,sorong,-0.8833,131.25,27.77,80,100,2.57,ID,1667868701
98,axim,4.8699,-2.2405,25.59,86,100,1.82,GH,1667868702
99,emba,48.8264,58.1442,-4.56,93,25,2.26,KZ,1667868702
100,luwuk,-0.9516,122.7875,28.32,75,99,1.21,ID,1667868703
101,inverbervie,56.8446,-2.28,12.47,87,100,12.29,GB,1667868703
102,da nang,16.0678,108.2208,23.99,78,40,1.03,VN,1667868689
103,ilulissat,69.2167,-51.1,-21.96,88,15,2.91,GL,1667868617
104,khatanga,71.9667,102.5,-14.24,96,100,2.17,RU,1667868585
105,bonfim,3.0833,-59.95,25.37,86,98,1.48,BR,1667868704
106,puerto baquerizo moreno,-0.9,-89.6,18.82,77,100,4.61,EC,1667868705
107,chernyshevskiy,63.0128,112.4714,-9.99,96,100,1.02,RU,1667868705
108,port hardy,50.6996,-127.4199,2.1,51,20,9.26,CA,1667868336
109,kruisfontein,-34.0033,24.7314,13.67,84,93,2.39,ZA,1667868706
110,araioses,-2.89,-41.9031,25.89,83,91,4.56,BR,1667868706
111,havre,49.5833,0.3333,13.87,77,0,6.69,FR,1667868504
112,sao joao da barra,-21.6403,-41.0511,22.05,74,100,1.98,BR,1667868707
113,kieta,-6.2167,155.6333,29.43,73,28,3.9,PG,1667868591
